account_id,marketing_channel,sharp_yn,country_group,account_open_year,account_open_month,sharp_flag
113,PPC Brand,N,United Kingdom,2018,4,0
114,SEO,N,Ireland,2018,3,0
115,PPC Brand,N,United Kingdom,2016,9,0
116,SEO,N,Ireland,2018,3,0
117,Affiliates,N,United Kingdom,2018,2,0
118,Direct,Y,United Kingdom,2018,7,1
119,PPC Brand,Y,United Kingdom,2018,12,1
120,Other,Y,United Kingdom,2007,5,1
121,PPC (inc Competitor),N,United Kingdom,2015,4,0
122,Affiliates,Y,United Kingdom,2014,12,1
123,Direct,N,United Kingdom,2018,3,0
124,Direct,Y,United Kingdom,2015,10,1
125,SEO,Y,United Kingdom,2015,6,1
126,PPC Brand,Y,United Kingdom,2017,5,1
127,Affiliates,Y,United Kingdom,2017,11,1
128,Direct,N,United Kingdom,2017,6,0
129,Social,N,United Kingdom,2017,5,0
130,SEO,N,United Kingdom,2011,2,0
131,Affiliates,Y,United Kingdom,2017,8,1
132,Direct,N,United Kingdom,2017,1,0
133,PPC (inc Competitor),N,United Kingdom,2017,10,0
134,PPC Brand,N,United Kingdom,2017,5,0
135,PPC (inc Competitor),N,United Kingdom,2017,4,0
136,Affiliates,Y,United Kingdom,2017,6,1
137,PPC (inc Competitor),N,United Kingdom,2017,4,0
138,Direct,N,United Kingdom,2013,4,0
139,Direct,Y,Ireland,2018,9,1
140,Direct,Y,United Kingdom,2014,7,1
141,PPC ASA,N,United Kingdom,2018,10,0
142,SEO,Y,Other,2017,12,1
143,Affiliates,N,United Kingdom,2016,6,0
144,Direct,N,United Kingdom,2017,8,0
145,Direct,N,United Kingdom,2017,8,0
146,Direct,N,United Kingdom,2017,8,0
147,Direct,N,Ireland,2013,2,0
148,SEO,Y,United Kingdom,2014,3,1
149,PPC Brand,N,United Kingdom,2010,3,0
150,Direct,N,Ireland,2007,8,0
151,PPC Brand,N,United Kingdom,2011,1,0
152,Direct,N,United Kingdom,2018,4,0
153,Direct,N,United Kingdom,2014,8,0
154,Direct,Y,United Kingdom,2018,12,1
155,Affiliates,Y,United Kingdom,2016,9,1
156,SEO,N,United Kingdom,2016,8,0
157,Direct,N,United Kingdom,2018,5,0
158,Affiliates,Y,Ireland,2015,2,1
159,PPC (inc Competitor),N,United Kingdom,2018,4,0
160,SEO,Y,United Kingdom,2018,5,1
161,PPC Brand,N,United Kingdom,2015,6,0
162,PPC Brand,Y,United Kingdom,2017,4,1
163,Direct,N,Ireland,2006,4,0
164,Direct,N,United Kingdom,2012,4,0
165,Direct,N,United Kingdom,2018,5,0
166,PPC Brand,N,United Kingdom,2016,5,0
167,PPC Brand,Y,United Kingdom,2018,5,1
168,Affiliates,Y,United Kingdom,2018,3,1
169,Affiliates,Y,United Kingdom,2004,7,1
170,Direct,N,United Kingdom,2011,10,0
171,Direct,N,United Kingdom,2008,5,0
172,PPC Brand,N,United Kingdom,2016,4,0
173,Affiliates,Y,United Kingdom,2016,5,1
174,SEO,N,United Kingdom,2011,4,0
175,Direct,Y,United Kingdom,2018,2,1
176,Affiliates,N,United Kingdom,2010,2,0
177,Display,N,United Kingdom,2016,6,0
178,PPC (inc Competitor),N,United Kingdom,2018,6,0
179,Direct,N,United Kingdom,2012,1,0
180,SEO,N,United Kingdom,2010,4,0
181,Direct,N,United Kingdom,2012,1,0
182,SEO,N,United Kingdom,2011,4,0
183,Direct,N,United Kingdom,2012,5,0
184,Direct,Y,United Kingdom,2018,3,1
185,Display,N,United Kingdom,2017,3,0
186,Affiliates,N,United Kingdom,2014,4,0
187,Social,N,United Kingdom,2018,3,0
188,Affiliates,Y,United Kingdom,2016,6,1
189,SEO,N,United Kingdom,2017,2,0
190,PPC Brand,N,Ireland,2012,10,0
191,Affiliates,N,United Kingdom,2017,2,0
192,PPC Brand,N,Ireland,2018,6,0
193,Affiliates,Y,United Kingdom,2018,1,1
194,Direct,N,Ireland,2008,9,0
195,PPC (inc Competitor),N,United Kingdom,2018,4,0
196,SEO,Y,United Kingdom,2017,2,1
197,Direct,Y,United Kingdom,2018,9,1
198,Affiliates,Y,United Kingdom,2018,4,1
199,Direct,N,United Kingdom,2018,3,0
200,Direct,N,United Kingdom,2018,3,0
201,PPC Brand,N,United Kingdom,2018,4,0
202,PPC Brand,N,Ireland,2018,3,0
203,Direct,N,United Kingdom,2018,3,0
204,Affiliates,N,United Kingdom,2018,4,0
205,SEO,N,Ireland,2018,3,0
206,Direct,N,United Kingdom,2018,7,0
207,Affiliates,N,United Kingdom,2018,6,0
208,Direct,N,United Kingdom,2018,6,0
209,Direct,N,United Kingdom,2018,12,0
210,Direct,N,United Kingdom,2018,2,0
211,Direct,N,United Kingdom,2018,4,0
212,PPC (inc Competitor),N,United Kingdom,2018,4,0
213,Social,N,Ireland,2018,5,0
214,Direct,N,United Kingdom,2018,4,0
215,Direct,N,United Kingdom,2018,2,0
216,Direct,N,United Kingdom,2018,6,0
217,Direct,N,United Kingdom,2018,3,0
218,Direct,N,United Kingdom,2018,6,0
219,SEO,N,United Kingdom,2018,7,0
220,SEO,Y,United Kingdom,2018,7,1
221,Display,N,Ireland,2018,2,0
222,Direct,N,United Kingdom,2018,5,0
223,SEO,N,Ireland,2005,11,0
224,Display,N,Ireland,2016,3,0
225,PPC Brand,N,United Kingdom,2018,3,0
226,PPC (inc Competitor),N,United Kingdom,2018,3,0
227,PPC Brand,N,United Kingdom,2018,4,0
228,SEO,N,Ireland,2018,3,0
229,Affiliates,N,United Kingdom,2018,4,0
230,Affiliates,N,United Kingdom,2014,4,0
231,Other,N,United Kingdom,2015,4,0
232,Direct,N,United Kingdom,2012,1,0
233,Direct,N,Ireland,2018,4,0
234,PPC Brand,N,United Kingdom,2017,3,0
235,Affiliates,Y,United Kingdom,2009,2,1
236,SEO,N,Ireland,2009,4,0
237,Affiliates,N,Ireland,2018,5,0
238,SEO,N,Ireland,2010,3,0
239,Direct,N,United Kingdom,2017,6,0
240,SEO,N,United Kingdom,2010,11,0
241,Direct,N,Ireland,2012,1,0
242,Direct,Y,Other,2018,4,1
243,Affiliates,N,United Kingdom,2007,6,0
244,Affiliates,Y,United Kingdom,2013,11,1
245,Direct,N,United Kingdom,2016,3,0
246,Direct,N,United Kingdom,2017,2,0
247,SEO,N,United Kingdom,2011,1,0
248,Direct,Y,United Kingdom,2017,6,1
249,Direct,N,United Kingdom,2017,8,0
250,Direct,Y,United Kingdom,2016,3,1
251,Direct,Y,United Kingdom,2016,9,1
252,SEO,N,United Kingdom,2014,3,0
253,SEO,N,United Kingdom,2015,11,0
254,PPC (inc Competitor),N,United Kingdom,2017,8,0
255,Display,N,United Kingdom,2017,4,0
256,Affiliates,Y,United Kingdom,2015,8,1
257,PPC Brand,Y,United Kingdom,2017,10,1
258,Other,N,United Kingdom,2016,8,0
259,Other,N,United Kingdom,2002,4,0
260,Direct,Y,United Kingdom,2016,4,1
261,PPC ASA,N,United Kingdom,2018,4,0
262,Direct,N,United Kingdom,2017,11,0
263,SEO,N,United Kingdom,2014,2,0
264,Direct,N,United Kingdom,2018,6,0
265,Direct,N,United Kingdom,2017,8,0
266,SEO,N,United Kingdom,2015,5,0
267,PPC (inc Competitor),N,United Kingdom,2010,6,0
268,Social,Y,United Kingdom,2018,6,1
269,SEO,Y,United Kingdom,2012,10,1
270,PPC Brand,N,Ireland,2017,2,0
271,Direct,N,Ireland,2009,7,0
272,PPC (inc Competitor),Y,United Kingdom,2017,8,1
273,Direct,N,Ireland,2012,10,0
274,PPC (inc Competitor),N,United Kingdom,2018,3,0
275,Affiliates,Y,United Kingdom,2015,3,1
276,Direct,N,United Kingdom,2014,4,0
277,Direct,Y,United Kingdom,2018,2,1
278,SEO,Y,United Kingdom,2018,6,1
279,PPC Brand,Y,United Kingdom,2018,6,1
280,Affiliates,N,United Kingdom,2014,4,0
281,Affiliates,Y,United Kingdom,2012,6,1
282,Affiliates,Y,United Kingdom,2008,5,1
283,PPC Brand,Y,United Kingdom,2017,4,1
284,Direct,Y,United Kingdom,2016,9,1
285,Affiliates,Y,United Kingdom,2017,3,1
286,SEO,N,United Kingdom,2018,3,0
287,Direct,N,United Kingdom,2014,4,0
288,Direct,Y,Ireland,1997,7,1
289,Direct,Y,United Kingdom,2017,3,1
290,SEO,N,Ireland,2014,3,0
291,Direct,Y,United Kingdom,2003,2,1
292,Direct,Y,United Kingdom,2003,2,1
293,Direct,N,United Kingdom,2012,8,0
294,Affiliates,Y,United Kingdom,2001,10,1
295,PPC (inc Competitor),N,United Kingdom,2018,11,0
296,SEO,N,United Kingdom,2018,10,0
297,Display,N,United Kingdom,2014,5,0
298,Direct,N,United Kingdom,2012,11,0
299,Direct,N,United Kingdom,2015,1,0
300,PPC Brand,N,United Kingdom,2017,4,0
301,PPC (inc Competitor),N,United Kingdom,2016,2,0
302,Direct,N,United Kingdom,2017,10,0
303,Social,N,United Kingdom,2014,3,0
304,Affiliates,N,United Kingdom,2012,5,0
305,PPC (inc Competitor),N,United Kingdom,2013,4,0
306,Affiliates,Y,United Kingdom,2001,12,1
307,Display,N,United Kingdom,2015,2,0
308,Affiliates,N,United Kingdom,2010,3,0
309,PPC Brand,N,United Kingdom,2015,12,0
310,Direct,N,United Kingdom,2017,3,0
311,Direct,N,United Kingdom,2017,4,0
312,SEO,Y,Other,2018,2,1
313,Affiliates,N,United Kingdom,2018,7,0
314,Display,N,Ireland,2018,3,0
315,Display,N,United Kingdom,2018,3,0
316,SEO,N,United Kingdom,2005,12,0
317,Direct,N,Ireland,2004,3,0
318,SEO,N,Ireland,2006,1,0
319,SEO,N,United Kingdom,2017,3,0
320,SEO,Y,United Kingdom,2016,9,1
321,SEO,N,Ireland,2013,8,0
322,PPC (inc Competitor),Y,United Kingdom,2018,4,1
323,PPC Brand,N,United Kingdom,2018,4,0
324,Direct,N,Ireland,2018,4,0
325,Affiliates,N,United Kingdom,2018,4,0
326,SEO,N,Ireland,2018,3,0
327,PPC Brand,N,United Kingdom,2018,8,0
328,PPC (inc Competitor),N,United Kingdom,2018,7,0
329,Direct,N,United Kingdom,2018,9,0
330,Direct,N,United Kingdom,2018,2,0
331,Direct,N,United Kingdom,2014,10,0
332,Direct,N,United Kingdom,2018,4,0
333,Direct,N,United Kingdom,2015,11,0
334,Affiliates,N,United Kingdom,2018,6,0
335,Direct,N,United Kingdom,2018,4,0
336,Direct,N,Ireland,2015,8,0
337,Direct,N,United Kingdom,2018,8,0
338,PPC Brand,N,United Kingdom,2018,2,0
339,Direct,N,United Kingdom,2018,2,0
340,Affiliates,Y,United Kingdom,2017,6,1
341,PPC (inc Competitor),N,United Kingdom,2012,4,0
342,Direct,Y,United Kingdom,2005,12,1
343,Other,Y,United Kingdom,2016,2,1
344,Direct,N,United Kingdom,2007,7,0
345,PPC (inc Competitor),N,United Kingdom,2016,4,0
346,Affiliates,N,United Kingdom,2017,4,0
347,SEO,N,United Kingdom,2009,11,0
348,Direct,N,Ireland,2005,3,0
349,Affiliates,Y,United Kingdom,2017,2,1
350,Direct,N,United Kingdom,2017,3,0
351,Display,N,United Kingdom,2016,10,0
352,Direct,N,Ireland,2018,1,0
353,Direct,N,Ireland,2014,1,0
354,Direct,N,United Kingdom,2017,8,0
355,PPC ASA,N,United Kingdom,2018,11,0
356,Direct,N,Ireland,2016,2,0
357,Affiliates,Y,United Kingdom,2010,1,1
358,Affiliates,N,United Kingdom,2010,3,0
359,SEO,N,United Kingdom,2014,4,0
360,SEO,N,Ireland,2010,8,0
361,Affiliates,N,United Kingdom,2014,3,0
362,Display,N,United Kingdom,2017,8,0
363,SEO,N,United Kingdom,2017,2,0
364,Affiliates,Y,United Kingdom,2018,6,1
365,PPC (inc Competitor),N,United Kingdom,2018,11,0
366,Direct,N,United Kingdom,2018,3,0
367,PPC Brand,N,United Kingdom,2018,8,0
368,Direct,N,United Kingdom,2018,8,0
369,PPC (inc Competitor),Y,United Kingdom,2011,4,1
370,SEO,N,United Kingdom,2015,1,0
371,SEO,Y,Ireland,2012,10,1
372,Direct,Y,United Kingdom,2018,1,1
373,Affiliates,N,United Kingdom,2013,12,0
374,Affiliates,N,United Kingdom,2014,4,0
375,Affiliates,Y,United Kingdom,2011,9,1
376,PPC Brand,N,United Kingdom,2016,8,0
377,Affiliates,Y,United Kingdom,2014,9,1
378,Direct,Y,United Kingdom,2017,8,1
379,Affiliates,Y,United Kingdom,2013,12,1
380,Direct,N,United Kingdom,2016,6,0
381,PPC Brand,N,United Kingdom,2013,4,0
382,SEO,Y,Other,2018,7,1
383,Affiliates,Y,United Kingdom,2017,3,1
384,Affiliates,Y,United Kingdom,2015,11,1
385,Direct,N,United Kingdom,2014,2,0
386,Direct,N,United Kingdom,2016,9,0
387,PPC (inc Competitor),N,United Kingdom,2011,9,0
388,Affiliates,N,United Kingdom,2016,10,0
389,Affiliates,N,United Kingdom,2012,3,0
390,Direct,N,United Kingdom,2014,6,0
391,SEO,N,United Kingdom,2011,3,0
392,Affiliates,N,United Kingdom,2012,4,0
393,Direct,N,United Kingdom,2012,4,0
394,Direct,N,United Kingdom,2011,10,0
395,PPC (inc Competitor),N,United Kingdom,2012,3,0
396,SEO,N,United Kingdom,2014,4,0
397,SEO,N,United Kingdom,2010,4,0
398,Affiliates,N,United Kingdom,2013,4,0
399,SEO,N,United Kingdom,2011,3,0
400,Affiliates,N,United Kingdom,2008,5,0
401,SEO,N,United Kingdom,2012,4,0
402,Direct,N,United Kingdom,2013,12,0
403,SEO,N,United Kingdom,2017,12,0
404,Direct,N,United Kingdom,2017,3,0
405,Affiliates,N,United Kingdom,2013,12,0
406,PPC Brand,N,United Kingdom,2016,6,0
407,Direct,Y,United Kingdom,2002,2,1
408,Direct,N,Ireland,2018,6,0
409,SEO,N,Ireland,2010,7,0
410,PPC Brand,N,Ireland,2015,8,0
411,PPC Brand,Y,United Kingdom,2018,11,1
412,PPC Brand,N,Ireland,2018,5,0
413,SEO,Y,Other,2016,11,1
414,Direct,Y,Other,2014,2,1
415,Affiliates,Y,Other,2008,11,1
416,Affiliates,Y,United Kingdom,2008,4,1
417,SEO,Y,United Kingdom,2015,12,1
418,Direct,Y,United Kingdom,2017,10,1
419,Affiliates,Y,United Kingdom,2018,1,1
420,Affiliates,Y,United Kingdom,2016,6,1
421,SEO,N,United Kingdom,2014,4,0
422,Direct,N,United Kingdom,2016,4,0
423,PPC (inc Competitor),N,United Kingdom,2017,4,0
424,SEO,N,United Kingdom,2015,4,0
425,PPC Brand,N,United Kingdom,2016,1,0
426,PPC (inc Competitor),N,United Kingdom,2017,4,0
427,PPC Brand,N,United Kingdom,2010,2,0
428,SEO,N,Ireland,2008,2,0
429,PPC Brand,N,United Kingdom,2017,8,0
430,SEO,N,United Kingdom,2005,7,0
431,Direct,N,Ireland,2013,3,0
432,SEO,Y,Ireland,2016,3,1
433,Affiliates,N,United Kingdom,2018,1,0
434,Affiliates,N,Ireland,2018,10,0
435,Affiliates,N,United Kingdom,2018,4,0
436,PPC Brand,N,United Kingdom,2018,3,0
437,PPC (inc Competitor),N,United Kingdom,2018,4,0
438,PPC Brand,N,United Kingdom,2018,4,0
439,Direct,N,Ireland,2018,3,0
440,Direct,N,United Kingdom,2018,5,0
441,Affiliates,N,United Kingdom,2018,4,0
442,PPC Brand,N,United Kingdom,2018,5,0
443,PPC (inc Competitor),N,United Kingdom,2018,3,0
444,SEO,N,United Kingdom,2018,4,0
445,PPC Brand,N,Ireland,2018,3,0
446,PPC (inc Competitor),N,United Kingdom,2018,4,0
447,Affiliates,Y,United Kingdom,2010,3,1
448,Direct,N,United Kingdom,2014,5,0
449,PPC Brand,N,United Kingdom,2018,2,0
450,Direct,Y,United Kingdom,2017,2,1
451,SEO,N,Ireland,2018,8,0
452,SEO,N,United Kingdom,2012,4,0
453,Other,Y,United Kingdom,2005,8,1
454,Affiliates,N,United Kingdom,2008,3,0
455,SEO,N,United Kingdom,2017,5,0
456,Direct,Y,United Kingdom,2018,3,1
457,Direct,N,United Kingdom,2004,6,0
458,Other,N,United Kingdom,2018,7,0
459,Affiliates,N,United Kingdom,2011,7,0
460,Affiliates,Y,United Kingdom,2017,3,1
461,PPC (inc Competitor),Y,United Kingdom,2018,3,1
462,Affiliates,N,United Kingdom,2017,6,0
463,PPC Brand,Y,United Kingdom,2017,5,1
464,SEO,Y,United Kingdom,2018,7,1
465,Direct,Y,United Kingdom,2017,7,1
466,PPC Brand,Y,United Kingdom,2015,10,1
467,Direct,N,United Kingdom,2017,4,0
468,SEO,Y,United Kingdom,2018,10,1
469,Direct,Y,United Kingdom,2017,3,1
470,Affiliates,N,United Kingdom,2016,10,0
471,Direct,Y,Other,2018,6,1
472,Direct,N,United Kingdom,2014,11,0
473,Direct,N,United Kingdom,2017,9,0
474,Affiliates,N,United Kingdom,2012,3,0
475,Display,N,Ireland,2018,3,0
476,SEO,N,United Kingdom,2018,3,0
477,PPC (inc Competitor),N,United Kingdom,2018,4,0
478,PPC Brand,Y,United Kingdom,2018,12,1
479,PPC Brand,N,United Kingdom,2017,8,0
480,PPC Brand,N,United Kingdom,2017,3,0
481,SEO,N,United Kingdom,2018,5,0
482,Affiliates,N,United Kingdom,2018,12,0
483,SEO,Y,United Kingdom,2018,5,1
484,PPC Brand,N,Ireland,2016,4,0
485,Direct,N,United Kingdom,2012,10,0
486,PPC Brand,N,United Kingdom,2017,6,0
487,Direct,N,Ireland,2018,3,0
488,Direct,N,United Kingdom,2017,12,0
489,Direct,N,United Kingdom,2011,1,0
490,Direct,N,United Kingdom,2013,4,0
491,SEO,N,United Kingdom,2014,12,0
492,PPC (inc Competitor),N,United Kingdom,2009,3,0
493,Direct,N,United Kingdom,2008,1,0
494,Affiliates,N,United Kingdom,2011,3,0
495,Affiliates,N,United Kingdom,2006,4,0
496,Direct,N,United Kingdom,2016,11,0
497,Direct,N,United Kingdom,2016,4,0
498,Affiliates,N,United Kingdom,2016,11,0
499,Direct,N,United Kingdom,2016,9,0
500,Direct,N,United Kingdom,2015,9,0
501,Direct,N,United Kingdom,2015,12,0
502,PPC (inc Competitor),N,United Kingdom,2014,4,0
503,Affiliates,N,United Kingdom,2013,1,0
504,Direct,Y,United Kingdom,2014,4,1
505,Direct,Y,United Kingdom,2016,7,1
506,Affiliates,N,United Kingdom,2015,5,0
507,Direct,N,United Kingdom,2017,4,0
508,Direct,N,United Kingdom,2012,3,0
509,Direct,Y,United Kingdom,2016,1,1
510,Affiliates,N,United Kingdom,2012,4,0
511,SEO,N,United Kingdom,2016,2,0
512,Direct,Y,United Kingdom,2012,1,1
513,Affiliates,N,United Kingdom,2017,8,0
514,PPC (inc Competitor),N,United Kingdom,2017,10,0
515,SEO,N,Other,2016,12,0
516,SEO,N,United Kingdom,2015,8,0
517,Direct,Y,Other,2015,11,1
518,Direct,N,Ireland,2014,6,0
519,Display,N,Ireland,2018,7,0
520,Display,N,United Kingdom,2018,3,0
521,PPC Brand,N,United Kingdom,2017,2,0
522,SEO,N,Ireland,2012,7,0
523,SEO,Y,Other,2015,1,1
524,SEO,N,United Kingdom,2006,12,0
525,SEO,Y,United Kingdom,2011,2,1
526,SEO,Y,Other,2017,8,1
527,SEO,Y,United Kingdom,2017,3,1
528,PPC Brand,Y,United Kingdom,2018,9,1
529,Direct,Y,United Kingdom,2018,11,1
530,Direct,N,United Kingdom,2018,9,0
531,PPC Brand,N,United Kingdom,2018,4,0
532,Direct,N,United Kingdom,2018,7,0
533,PPC (inc Competitor),N,United Kingdom,2018,2,0
534,PPC Brand,N,United Kingdom,2018,4,0
535,Direct,N,United Kingdom,2018,4,0
536,SEO,N,Ireland,2018,9,0
537,Direct,N,United Kingdom,2018,9,0
538,SEO,N,United Kingdom,2018,7,0
539,Display,N,United Kingdom,2018,7,0
540,Direct,N,United Kingdom,2018,4,0
541,PPC (inc Competitor),N,United Kingdom,2018,3,0
542,PPC Brand,N,United Kingdom,2018,3,0
543,PPC Brand,N,United Kingdom,2018,4,0
544,PPC Brand,N,United Kingdom,2018,7,0
545,SEO,N,United Kingdom,2018,4,0
546,Direct,N,United Kingdom,2018,7,0
547,Affiliates,N,Ireland,2018,3,0
548,PPC Brand,N,United Kingdom,2018,4,0
549,Direct,N,United Kingdom,2018,7,0
550,Direct,N,United Kingdom,2018,4,0
551,Affiliates,N,United Kingdom,2016,4,0
552,Social,N,United Kingdom,2017,8,0
553,Direct,N,Ireland,2008,11,0
554,SEO,N,United Kingdom,2009,4,0
555,PPC (inc Competitor),N,United Kingdom,2011,4,0
556,SEO,N,United Kingdom,2018,4,0
557,SEO,N,United Kingdom,2018,4,0
558,Display,N,United Kingdom,2018,3,0
559,Affiliates,Y,United Kingdom,2014,7,1
560,PPC Brand,Y,United Kingdom,2018,4,1
561,SEO,N,United Kingdom,2013,4,0
562,Other,N,United Kingdom,2010,9,0
563,Display,N,United Kingdom,2018,6,0
564,Direct,N,Ireland,2018,12,0
565,Direct,N,United Kingdom,2011,4,0
566,SEO,N,United Kingdom,2014,3,0
567,Direct,N,Ireland,2013,4,0
568,Direct,Y,United Kingdom,2018,8,1
569,Other,Y,Ireland,2006,2,1
570,Direct,Y,United Kingdom,2015,9,1
571,Other,N,United Kingdom,2009,3,0
572,Direct,N,United Kingdom,2017,11,0
573,Direct,N,United Kingdom,2016,3,0
574,SEO,Y,United Kingdom,2018,4,1
575,SEO,Y,United Kingdom,2017,7,1
576,Direct,N,United Kingdom,2017,11,0
577,Affiliates,Y,United Kingdom,2018,1,1
578,PPC (inc Competitor),N,United Kingdom,2016,6,0
579,Direct,N,United Kingdom,2017,8,0
580,SEO,Y,United Kingdom,2015,8,1
581,Affiliates,N,United Kingdom,2016,4,0
582,PPC Brand,Y,United Kingdom,2016,3,1
583,Affiliates,N,United Kingdom,2017,6,0
584,Direct,N,United Kingdom,2017,5,0
585,Affiliates,N,United Kingdom,2016,6,0
586,Direct,N,United Kingdom,2017,3,0
587,SEO,N,United Kingdom,2014,7,0
588,SEO,N,United Kingdom,2014,3,0
589,Direct,N,United Kingdom,2014,9,0
590,PPC Brand,N,United Kingdom,2012,3,0
591,Affiliates,Y,United Kingdom,2018,5,1
592,PPC (inc Competitor),N,United Kingdom,2017,4,0
593,Affiliates,N,United Kingdom,2017,4,0
594,Affiliates,N,United Kingdom,2013,11,0
595,Direct,N,United Kingdom,2016,10,0
596,SEO,N,Ireland,2012,1,0
597,PPC (inc Competitor),N,United Kingdom,2017,3,0
598,Direct,N,United Kingdom,2017,8,0
599,Direct,N,United Kingdom,2017,8,0
600,Direct,N,United Kingdom,2013,8,0
601,Direct,Y,United Kingdom,2004,8,1
